acc_y,acc_z,acc_dy,acc_dz,spd,pothole,date
0.261139,0.012146,-0.004791,-0.253784,11.14,0,1595201063886
0.262497,0.046875,0.001358,-0.214264,11.14,0,1595201063886
0.263275,0.026199,0.000778,-0.236298,11.14,0,1595201064002
0.235504,0.020981,-0.027771,-0.242294,11.14,0,1595201064206
0.235397,0.0345,-0.000107,-0.201004,11.14,0,1595201064206
0.233932,-0.006165,-0.001465,-0.241562,11.14,0,1595201064296
0.25264,0.00499,0.018708,-0.228942,11.14,0,1595201064529
0.226196,0.028625,-0.026444,-0.224015,11.14,0,1595201064529
0.238007,0.049332,0.011811,-0.176864,11.14,0,1595201064678
0.172775,0.01239,-0.065232,-0.225617,11.14,0,1595201064725
0.136383,-0.006866,-0.036392,-0.179641,11.14,0,1595201064911
0.151321,-0.016113,0.014938,-0.152496,11.14,0,1595201064926
0.151199,0.002182,-0.000122,-0.149139,11.14,0,1595201065115
0.155365,0.027252,0.004166,-0.123947,11.14,0,1595201065231
0.163147,0.065231,0.007782,-0.090134,11.14,0,1595201065268
0.1436,0.023865,-0.019547,-0.139282,11.14,0,1595201065365
0.155914,-0.009888,0.012314,-0.153488,11.14,0,1595201065543
0.160965,-0.018677,0.005051,-0.174591,11.14,0,1595201065744
0.122284,-0.005341,-0.038681,-0.166306,11.14,0,1595201065744
0.081665,-0.018005,-0.040619,-0.140289,11.14,0,1595201065825
0.07164,-0.009323,-0.010025,-0.090988,11.14,0,1595201065927
0.051071,-0.000732,-0.020569,-0.072372,11.14,0,1595201066037
0.062302,-0.005173,0.011231,-0.056244,11.14,0,1595201066141
0.063736,0.015594,0.001434,-0.046708,11.14,0,1595201066243
0.064438,0.008789,0.000702,-0.054947,11.14,0,1595201066346
0.058548,0.009048,-0.00589,-0.05539,11.14,0,1595201066550
0.035049,-0.000244,-0.023499,-0.058792,11.14,0,1595201066550
0.058456,0.000214,0.023407,-0.034835,11.14,0,1595201066688
0.025681,-0.014557,-0.032775,-0.073013,11.14,0,1595201066755
0.014877,-0.000366,-0.010804,-0.026047,11.14,0,1595201066885
-0.001648,0.002625,-0.016525,-0.012252,11.14,0,1595201066965
-0.02034,0.011887,-0.018692,0.013535,11.14,0,1595201067054
-0.037537,0.00415,-0.017197,0.02449,11.14,0,1595201067166
-0.047455,0.042542,-0.009918,0.080079,11.14,0,1595201067267
-0.053787,0.007355,-0.006332,0.05481,11.14,0,1595201067369
-0.057251,0.010895,-0.003464,0.064682,11.14,0,1595201067496
